word,valence,arousal
crumble,-1.714400,0.571600
crumbling,-1.714400,0.571600
disintegrate,-1.714400,0.571600
deteriorate,-1.714400,0.571600
destroying,-2.000000,1.333200
destruction,-2.000000,2.769200
destructive,-1.714400,1.500000
detest,-2.840000,1.080000
detestation,-3.440000,-1.720000
devastate,-3.360000,1.760000
devastation,-3.360000,1.760000
devil,-2.800000,1.080000
die,-2.240000,0.000000
died,-2.222400,-1.200000
dies,-2.000000,-0.923200
dirt,-1.142800,-2.000000
dirty,-2.571600,-0.266800
disabled,-2.000000,-1.818000
disagreement,-1.333200,1.200000
disappear,-2.400000,-0.363600
disappeared,-1.500000,-0.888800
disappointed,-1.142800,-1.000000
disappointment,-1.333200,-0.571600
disapprobation,-3.440000,-1.720000
disapproval,-2.545600,-0.666800
disaster,-3.280000,1.320000
disastrous,-2.222400,1.600000
discontent,-3.000000,-1.777600
discourage,-1.500000,-1.777600
discouraged,-1.500000,-1.777600
discouragement,-2.000000,-0.360000
discouraging,-1.800000,-2.000000
disesteem,-3.440000,-1.720000
disfavor,-3.440000,-1.720000
disease,-3.272800,-0.727200
diseases,-3.111200,-0.888800
flu,-3.272800,-0.727200
virus,-3.272800,-0.727200
disfavour,-3.440000,-1.720000
disgraced,-4.000000,0.000000
disgust,-2.480000,-0.480000
disgusting,-3.120000,1.320000
dishearten,-1.500000,-1.777600
disheartening,-1.800000,-2.000000
disinclination,-3.440000,-1.720000
disinterest,-1.333200,-2.182000
disinterested,-3.000000,-1.777600
dislike,-3.440000,-1.720000
disliked,-3.600000,-0.800000
disloyal,-3.080000,1.560000
dismal,-1.800000,-2.000000
dismay,-1.500000,-1.777600
dispirit,-1.500000,-1.777600
dispirited,-2.800000,-2.800000
dispiriting,-1.800000,-2.000000
displeasure,-2.480000,-2.280000
disquiet,-4.000000,0.800000
dissatisfaction,-3.440000,-1.720000
distaste,-2.480000,-2.280000
distraught,-3.040000,1.400000
distress,-2.920000,0.000000
distressed,-3.040000,1.400000
distressing,-1.800000,-2.000000
distrust,-2.680000,0.640000
disturb,-2.680000,2.400000
disturbing,-3.120000,2.200000
divorce,-2.760000,1.320000
docile,2.320000,-1.800000
doldrums,-1.800000,-2.000000
doleful,-0.760000,-1.120000
dolor,-3.000000,0.000000
dopey,-2.480000,-2.480000
doubtful,-3.000000,-3.000000
dove,1.920000,-1.200000
down,-2.800000,-2.800000
downbeat,-2.480000,-2.280000
downcast,-2.480000,-2.280000
dread,-2.857200,-1.142800
dreadful,-2.857200,-1.142800
dream,2.182000,1.090800
dreamboat,1.818000,-2.182000
dreamed,2.182000,0.727200
dreaming,2.666800,0.444400
dreams,1.090800,-1.090800
dreamt,1.454400,0.363600
dreary,-1.800000,-2.000000
dreary,-1.960000,-2.000000
drown,-3.080000,1.560000
drowsiness,-1.333200,-2.182000
drug,-2.840000,-2.840000
drugs,-3.320000,-2.680000
dull,-2.760000,-2.480000
dysphoria,-1.800000,-2.000000
eager,2.000000,3.640000
eagerness,3.520000,1.240000
earth,1.000000,-2.800000
easiness,0.000000,-2.680000
easy,0.000000,-2.680000
easygoing,0.000000,-2.680000
ebullience,3.520000,1.240000
ecstasy,3.000000,2.400000
ecstatic,4.000000,3.000000
elated,2.440000,1.200000
elation,3.520000,1.240000
embarrassed,-4.000000,0.000000
enamoredness,1.714400,-2.000000
enchanted,3.520000,1.240000
endearment,0.500000,-3.333200
enemies,-2.000000,2.200000
enemy,-2.400000,1.080000
foe,-2.400000,1.080000
rival,-3.428400,-1.142800
antagonist,-3.428400,-1.142800
adversary,-3.428400,-1.142800
enjoy,4.000000,2.560000
enjoyment,3.520000,1.240000
enmity,-4.000000,3.560000
enraged,-2.520000,2.960000
entertainment,2.200000,2.320000
enthusiasm,3.520000,1.240000
enthusiastic,2.000000,3.640000
equanimity,0.000000,-2.680000
erotic,2.440000,2.240000
erradicate,-3.520000,1.760000
euphoria,3.520000,1.240000
euphory,3.520000,1.240000
evil,-0.480000,1.760000
exasperation,-4.000000,3.560000
excited,2.000000,3.640000
excitement,2.520000,2.680000
exercise,2.120000,1.840000
exercises,2.400000,3.640000
exhilaration,2.520000,2.680000
explosion,-3.120000,4.000000
explode,-3.120000,4.000000
exploding,-3.120000,4.000000
bursting,-3.120000,4.000000
detonate,-3.120000,4.000000
detonated,-3.120000,4.000000
detonating,-3.120000,4.000000
blow_up,-3.120000,4.000000
exploded,-3.120000,4.000000
bomb,-3.120000,4.000000
exterminate,-3.520000,1.760000
extinguish,-3.520000,1.760000
exuberance,3.520000,1.240000
exuberant,2.000000,3.640000
exuberate,3.520000,1.240000
exult,3.520000,1.240000
exultancy,3.520000,1.240000
exultant,3.520000,1.240000
exultation,3.520000,1.240000
exulting,3.520000,1.240000
eye,1.680000,-3.000000
eyes,1.320000,-2.320000
fail,-4.000000,-0.720000
failed,-4.000000,-2.000000
failing,-4.000000,-0.480000
fails,-4.000000,-0.800000
failure,-4.000000,-1.160000
fame,2.520000,3.120000
fanatic,-2.800000,2.920000
fanatical,-4.000000,2.680000
fantasy,2.666800,1.200000
father,1.333200,-1.142800
fathers,2.000000,-0.571600
father's,1.333200,-1.714400
fatigue,-3.320000,-2.840000
fatigued,-1.720000,-2.360000
fear,-2.240000,1.960000
fearful,-2.760000,1.320000
fearlessness,0.666800,0.888800
feast,2.000000,3.000000
felicitousness,4.000000,3.200000
felicity,4.000000,3.200000
ferocity,-3.120000,1.320000
fervent,2.000000,3.640000
festival,2.400000,2.560000
festive,2.320000,1.600000
festivity,2.000000,3.000000
fiend,-2.222400,-0.400000
fierceness,-3.120000,1.320000
fight,-2.680000,2.280000
fighting,-3.560000,3.200000
fireworks,2.560000,1.680000
flesh,-0.444400,-2.400000
flirt,2.520000,1.920000
flirting,0.880000,2.200000
flood,-2.680000,2.560000
flower,3.000000,-3.720000
flowers,1.600000,-2.280000
fog,-3.440000,-3.560000
foggy,-2.680000,-4.000000
fondness,0.500000,-3.333200
forceful,2.000000,3.640000
foreboding,-2.680000,0.640000
fought,-2.680000,2.280000
frenzy,3.080000,3.080000
fret,-4.000000,4.000000
friend,2.666800,1.714400
bff,2.666800,1.714400
friendliness,2.285600,-0.444400
friendly,2.285600,-0.444400
friendship,2.000000,0.000000
frighten,-2.000000,2.640000
frightened,-3.120000,1.800000
frightening,-3.000000,2.400000
frustration,-3.000000,-1.777600
fuck,0.560000,2.640000
fucked,0.440000,3.240000
fuckin,1.520000,3.200000
fuckin',1.520000,3.200000
fucking,1.520000,3.200000
fun,3.360000,2.240000
fury,-2.400000,2.280000
gala,2.000000,3.000000
gentle,2.320000,-1.800000
gentleness,0.500000,-3.333200
girls,2.520000,0.520000
glad,3.000000,2.000000
gladden,3.520000,1.240000
gladfulness,3.520000,1.240000
gladness,3.520000,1.240000
gladsomeness,3.520000,1.240000
glee,3.520000,1.240000
gleeful,4.000000,3.000000
gleefulness,3.520000,1.240000
gloat,3.520000,1.240000
gloom,-3.000000,-2.480000
gloominess,-1.800000,-2.000000
gloomy,-2.480000,-2.280000
glory,2.560000,1.040000
glumness,-1.800000,-2.000000
gold,2.520000,-0.400000
goodwill,2.285600,-0.444400
good-will,2.285600,-0.444400
gratefulness,3.500000,-1.000000
gratified,4.000000,3.000000
gratitude,3.500000,-1.000000
greatly,2.280000,2.280000
grey,-3.480000,-2.480000
grief,-3.000000,0.000000
grim,-3.320000,-3.320000
growing,3.000000,2.520000
guillotine,-2.520000,1.560000
guilt,-3.000000,0.500000
guilty,-2.360000,1.040000
gun,-2.680000,2.680000
guns,-2.680000,2.680000
gunk,-2.840000,-3.440000
gusto,3.520000,1.240000
hades,-2.840000,-2.840000
halcyon,0.000000,-2.680000
halted,-2.480000,-2.480000
happier,3.120000,2.680000
happily,3.520000,3.520000
happiness,4.000000,3.200000
happy,4.000000,3.000000
harmonious,3.600000,-1.200000
harmony,1.160000,-0.800000
hate,-2.880000,1.960000
hated,-2.800000,2.400000
hatred,-3.120000,0.880000
havoc,-3.360000,1.760000
funeral,-2.857200,-0.444400
requiem,-2.857200,-0.444400
hazards,-2.560000,2.200000
headache,-4.000000,2.285600
heart,2.400000,1.360000
heartache,-2.480000,-2.280000
heartbreak,-2.480000,-2.280000
heartbreaking,-1.800000,-2.000000
